Road Code,Section Code,Road Name,Section Name,Direction,AVERAGE DAILY TRAFFIC - PCU,AVERAGE DAILY TRAFFIC - ADT,Private Vehicles,Trucks - Light,Trucks - Medium,Trucks - Heavy,Buses
F0134,020,ΓΕΡΑΣΑ - ΜΑΘΙΚΟΛΟΝΗ,ΑΨΙΟΥ - ΜΑΘΙΚΟΛΟΝΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,0,0,0,0,0,0,0
F0135,010,ΚΑΛΟ ΧΩΡΙΟ - ΛΟΥΒΑΡΑΣ,ΚΑΛΟ ΧΩΡΙΟ - ΛΟΥΒΑΡΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1096,887,594,188,62,11,32
F0136,010,Ε110 - ΑΓΙΟΣ ΠΑΥΛΟΣ,Ε110 - ΚΑΛΟ ΧΩΡΙΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1353,1136,859,169,63,25,21
F0136,020,Ε110 - ΑΓΙΟΣ ΠΑΥΛΟΣ,ΚΑΛΟ ΧΩΡΙΟ - ΑΓΙΟΣ ΠΑΥΛΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,354,302,125,150,17,7,2
F0137,010,ΑΣΓΑΤΑ - ΚΑΛΑΒΑΣΟΣ,ΑΣΓΑΤΑ - ΚΑΛΑΒΑΣΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,264,223,93,109,16,2,2
F0138,010,ΚΑΛΟ ΧΩΡΙΟ - ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΚΑΛΟ ΧΩΡΙΟ - ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,262,221,93,107,16,2,2
F0139,010,ΖΩΟΠΗΓΗ - ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ,ΖΩΟΠΗΓΗ - ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,429,305,114,130,39,11,11
F0140,010,ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ ΖΩΟΠΗΓΗΣ,ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ ΖΩΟΠΗΓΗΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,269,182,66,73,36,5,2
F0141,010,ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ - ΑΓΙΟΣ ΙΩΑΝΝΗΣ,ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ - ΑΓΙΟΣ ΙΩΑΝΝΗΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,230,176,73,75,21,5,2
F0144,010,ΚΕΛΛΑΚΙ - ΠΡΑΣΤΕΙΟ,ΚΕΛΛΑΚΙ - ΠΡΑΣΤΕΙΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,403,335,239,62,25,5,5
