"ID","Nimetus","Liik","Staatus","Maakond","Tee nimi","Tee nr","Tee km","Lat","Lon","Kanalid ehk sõidurajad"
"91e72","Sinimäe","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Ida-Viru maakond","Tallinna-Narva tee","1","194.738","59.37513","27.93851","1: Tallinn - Narva | 2: Narva - Tallinn"
"","Suur-Sõjamäe","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Tallinna-Lagedi tee","11290","7.501","59.40987","24.91105",""
"387ad","Sämi","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne-Viru maakond","Tallinna-Narva tee","1","109.455","59.37418","26.58264","1: Tallinn - Narva | 2: Narva - Tallinn"
"","Särevere","PERIOODILINE","Aktiivne: ei ole avaandmetes","Järva maakond","Pärnu-Rakvere-Sõmeru tee","5","75.199","58.78781","25.42302",""
"a8ed1","Sürgavere","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Viljandi maakond","Imavere - Viljandi - Karksi-Nuia tee","49","33.509","58.49866","25.59267","1: Imavere - Viljandi | 2: Viljandi - Imavere"
"5c298","Tammemäe","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna ringtee","11","23.189","59.3126831","24.69263","1: Luige - Saku 1 | 2: Luige - Saku 2 | 3: Saku - Luige 1 | 4: Saku - Luige 2"
"dabd3","Tammispää","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Jõgeva maakond","Jõhvi-Tartu-Valga tee","3","62.173","58.92454","27.01501","1: Jõhvi - Tartu | 2: Tartu - Jõhvi"
"","Tammiste","PERIOODILINE","Aktiivne: ei ole avaandmetes","Pärnu maakond","Pärnu-Rakvere-Sõmeru tee","5","1.867","58.37561","24.57600",""
"459a0","Tatra I","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","196.968","58.26125","26.68761","1: Tartu - Võru | 2: Võru - Tartu"
"56bf7","Tatra II","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Tatra-Otepää-Sangaste tee","46","0.794","58.24309","26.669","1: Tatra - Otepää | 2: Otepää - Tatra"
"21768","Teemeistri","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Viljandi maakond","Tartu - Viljandi - Kilingi-Nõmme tee","92","69.800","58.36865","25.6468","1: Tartu - Viljandi | 2: Viljandi - Tartu"
"abedd","Tootsi","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Võru maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","260.436","57.80447","27.08078","1: Võru - Luhamaa | 2: Luhamaa - Võru"
"dfe86","Tori","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Pärnu-Rakvere-Sõmeru tee","5","22.928","58.5118","24.81154","1: Pärnu - Rakvere | 2: Rakvere - Rärnu"
"ed68d","Tõravere","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Jõhvi-Tartu-Valga tee","3","154.111","58.26214","26.48078","1: Tartu - Valga | 2: Valga - Tartu"
"08c4a","Tõrvajõe","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Ida-Viru maakond","Narva - Narva-Jõesuu - Hiiemetsa tee","91","9.075","59.43747","28.11777","1: Narva - Narva-Jõesuu | 2: Narva-Jõesuu - Narva"
"f6b6e","Tähtvere","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Tartu-Tiksoja tee","40","4.214","58.39839","26.68612","1: Tartu - Tiksoja | 2: Tiksoja - Tartu"
"2874e","Urge","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Rapla-Türi tee","15","23.400","59.19988","24.78361","1: Tallinn - Rapla | 2: Rapla - Tallinn"
"b5104","Vaela","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna ringtee","11","15.733","59.3333664","24.8019924","1: Jüri - Luige 1 | 2: Jüri - Luige 2 | 3: Luige - Jüri 2 | 4: Luige - Jüri 1"
"85b44","Vaimõisa","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Rapla maakond","Tallinna-Pärnu-Ikla tee","4","57.401","58.98316","24.47101","1: Tallinn - Pärnu | 2: Pärnu - Tallinn"
"","Valingu","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Tallinna ringtee","11","35.295","59.31521","24.48438",""
"029a6","Valjala","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Saare maakond","Risti-Virtsu-Kuivastu-Kuressaare tee","10","118.459","58.40884","22.77671","1: Kuivastu - Kuressaar | 2: Kuressaare - Kuivast"
"","Valkse","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Tallinna-Paldiski tee","8","29.806","59.32780","24.36400",""
"7a553","Valuste","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Risti-Virtsu-Kuivastu-Kuressaare tee","10","46.600","58.67486","23.78088","1: Risti - Virtsu | 2: Virtsu - Risti"
"29447","Vana-kastre","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Tartu-Räpina-Värska tee","45","12.240","58.35354","26.91528","1: Tartu - Räpina | 2: Räpina - Tartu"
"748fe","Varja","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Ida-Viru maakond","Tallinna-Narva tee","1","146.054","59.41623","27.14708","1: Tallinn - Narva | 2: Narva - Tallinn"
"72822","Varstu","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Võru maakond","Võru-Mõniste-Valga tee","67","33.864","57.64296","26.64948","1: Võru - Mõniste | 2: Mõniste - Võru"
"14629","Vastse-kuuste","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Põlva maakond","Põlva-Reola tee","61","18.159","58.17857","26.8882465","1: Põlva - Reola | 2: Reola - Põlva"
"","Vatsla","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Harku-Rannamõisa tee","11191","1.6","59.40398","24.54715",""
"","Viilupi","PERIOODILINE","Aktiivne: ei ole avaandmetes","Hiiu maakond","Suuremõisa-Käina-Emmaste tee","83","3.3","58.86259","22.91419",""
"1f6e9","Viiratsi","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Viljandi maakond","Viljandi-Rõngu tee","52","0.765","58.35725","25.62853","1: Viljandi - Rõngu | 2: Rõngu - Viljandi"
"67241","Viitna","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne-Viru maakond","Tallinna-Narva tee","1","73.241","59.46308","26.00836","1: Tallinn - Narva 1 | 2: Tallinn - Narva 2 | 3: Narva - Tallinn 3 | 4: Narva - Tallinn 4"
"b171e","Võiste","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Tallinna-Pärnu-Ikla tee","4","151.965","58.22982","24.50109","1: Pärnu - Ikla | 2: Ikla - Pärnu"
"944ab","Ülenurme","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Tartu maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","191.800","58.3034172","26.71867","1: Tartu - Võru | 2: Võru - Tartu"
"5e649","Reiu","PÜSILOENDUSPUNKT","Suletud: on avaandmetes","Pärnu maakond","Tallinna-Pärnu-Ikla tee","4","140.354","58.30261","24.60978","1: Pärnu - Ikla | 2: Ikla - Pärnu"
"66402","Ussisoo","PÜSILOENDUSPUNKT","Suletud: on avaandmetes","Järva maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","69.483","59.03114","25.49797","1: Tallinn - Tartu | 2: Tartu - Tallinn"
"a7a98","Pikaküla","PÜSILOENDUSPUNKT","Suletud: on avaandmetes","Järva maakond","Tallinna-Tartu-Võru-Luhamaa tee","2","82.335","58.963623","25.60567","1: Tallinn - Tartu | 2: Tartu - Tallinn"
